img1,img2,label,score
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_4.bmp,1,0.224271344
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_3.bmp,1,0.169303605
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_4.bmp,1,0.530705193
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\057\057_4.bmp,1,0.506305362
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_1.bmp,1,0.092321969
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_2.bmp,1,0.351573362
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_3.bmp,1,0.365651703
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_4.bmp,1,0.184644544
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_2.bmp,1,0.35353041
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_3.bmp,1,0.329788999
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_4.bmp,1,0.205260529
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_3.bmp,1,0.195203944
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_4.bmp,1,0.468008452
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\012\012_4.bmp,1,0.519160618
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_1.bmp,1,0.092569743
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_2.bmp,1,0.136927563
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_3.bmp,1,0.197149358
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_4.bmp,1,0.494155849
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_2.bmp,1,0.189282738
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_3.bmp,1,0.22343097
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_4.bmp,1,0.489747359
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_3.bmp,1,0.148206943
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_4.bmp,1,0.47971578
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\379\379_4.bmp,1,0.455661478
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_1.bmp,1,0.380299123
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_2.bmp,1,0.344710641
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_3.bmp,1,0.47101083
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_4.bmp,1,0.167469184
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_2.bmp,1,0.269840556
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_3.bmp,1,0.300532815
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_4.bmp,1,0.455769278
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_3.bmp,1,0.289439114
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_4.bmp,1,0.538731753
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\140\140_4.bmp,1,0.597526695
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_1.bmp,1,0.412658696
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_2.bmp,1,0.441152953
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_3.bmp,1,0.35926164
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_4.bmp,1,0.280239577
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_2.bmp,1,0.239751473
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_3.bmp,1,0.429436091
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_4.bmp,1,0.500481619
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_3.bmp,1,0.388412932
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_4.bmp,1,0.578141195
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\125\125_4.bmp,1,0.456681782
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_1.bmp,1,0.354245446
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_2.bmp,1,0.531823961
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_3.bmp,1,0.441093139
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_4.bmp,1,0.386930704
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_2.bmp,1,0.505920704
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_3.bmp,1,0.258524429
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_4.bmp,1,0.409343443
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_3.bmp,1,0.54767013
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_4.bmp,1,0.382185066
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\114\114_4.bmp,1,0.508909869
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_1.bmp,1,0.173789772
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_2.bmp,1,0.276209236
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_3.bmp,1,0.22910152
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_4.bmp,1,0.470854357
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_2.bmp,1,0.342875095
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_3.bmp,1,0.147767554
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_4.bmp,1,0.500813343
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_3.bmp,1,0.344158015
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_4.bmp,1,0.439159025
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\071\071_4.bmp,1,0.466034035
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_1.bmp,1,0.087746582
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_2.bmp,1,0.236681785
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_3.bmp,1,0.577609738
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_4.bmp,1,0.922380164
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_2.bmp,1,0.260234173
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_3.bmp,1,0.58639217
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_4.bmp,1,0.911678009
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_3.bmp,1,0.409892698
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_4.bmp,1,0.466614206
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\377\377_4.bmp,1,0.663338099
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_1.bmp,1,0.220051145
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_2.bmp,1,0.268073507
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_3.bmp,1,0.179731134
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_4.bmp,1,0.280873308
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_2.bmp,1,0.396728591
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_3.bmp,1,0.279917861
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_4.bmp,1,0.16280422
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_3.bmp,1,0.345063401
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_4.bmp,1,0.39650976
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\052\052_4.bmp,1,0.208256767
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_1.bmp,1,0.472903778
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_2.bmp,1,0.663549164
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_3.bmp,1,0.295988699
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_4.bmp,1,0.500516187
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_2.bmp,1,0.332870499
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_3.bmp,1,0.295584854
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_4.bmp,1,0.356330263
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_3.bmp,1,0.479949166
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_4.bmp,1,0.29245611
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\346\346_4.bmp,1,0.311588089
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_1.bmp,1,0.440083312
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_2.bmp,1,0.663581599
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_3.bmp,1,0.434421105
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_4.bmp,1,0.397525861
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_2.bmp,1,0.743538116
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_3.bmp,1,0.522281754
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_4.bmp,1,0.421337501
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_3.bmp,1,0.615317437
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_4.bmp,1,0.614166825
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\456\456_4.bmp,1,0.178111528
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_1.bmp,1,0.482611506
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_2.bmp,1,0.457444041
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_3.bmp,1,0.507277654
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_4.bmp,1,0.210797452
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_2.bmp,1,0.314167705
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_3.bmp,1,0.527217433
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_4.bmp,1,0.61088469
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_3.bmp,1,0.556231601
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_2.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_4.bmp,1,0.650537154
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_3.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\279\279_4.bmp,1,0.506123362
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_1.bmp,1,0.190028694
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_2.bmp,1,0.328090503
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_3.bmp,1,0.386865708
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_0.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_4.bmp,1,0.238587131
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_2.bmp,1,0.329893033
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_3.bmp,1,0.467237325
D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_1.bmp,D:\BiometricsProject\318172467\Data\Face\CASIA-FaceV5(BMP)\044\044_4.bmp,1,0.193971191
